obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""782.706""","=""782.7084""","=""55""","=""""","=""""","=""""","=""""",,"=""3.608524""","=""5.192565""","=""4d8.(3F).5p""","=""z 4G*""","=""11/2""","=""4d8.(3F).6s""","=""e 4F""","=""9/2""",12,10,,"=""""","=""L3475""",
"=""783.220""","=""""","=""15""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""784.866""","=""784.8708""","=""15""","=""""","=""""","=""""","=""""",,"=""1.998463""","=""3.578139""","=""4d7.5s2""","=""b 4F""","=""5/2""","=""4d8.(3F).5p""","=""z 4D*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""803.212""","=""803.2129""","=""21""","=""""","=""""","=""""","=""""",,"=""3.648962""","=""5.192565""","=""4d8.(3F).5p""","=""z 4F*""","=""9/2""","=""4d8.(3F).6s""","=""e 4F""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""803.830""","=""803.8256""","=""11w""","=""""","=""""","=""""","=""""",,"=""3.967992""","=""5.510418""","=""4d8.(3F).5p""","=""z 2F*""","=""7/2""","=""4d8.(3F).6s""","=""e 4F""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""804.757""","=""804.7532""","=""29""","=""""","=""""","=""""","=""""",,"=""3.702954""","=""5.243603""","=""4d8.(3F).5p""","=""z 4F*""","=""7/2""","=""4d8.(3F).6s""","=""e 2F""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""806.572""","=""806.5687""","=""7""","=""""","=""""","=""""","=""""",,"=""3.973237""","=""5.510418""","=""4d8.(3F).5p""","=""z 2D*""","=""5/2""","=""4d8.(3F).6s""","=""e 4F""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""813.844""","=""813.8425""","=""15""","=""""","=""""","=""""","=""""",,"=""1.833462""","=""3.356904""","=""4d7.5s2""","=""b 4F""","=""7/2""","=""4d8.(3F).5p""","=""z 4D*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""819.592""","=""819.5915""","=""7w""","=""""","=""""","=""""","=""""",,"=""3.997662""","=""5.510418""","=""4d8.(3F).5p""","=""z 4G*""","=""5/2""","=""4d8.(3F).6s""","=""e 4F""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""837.197""","=""837.1928""","=""5w""","=""""","=""""","=""""","=""""",,"=""4.198978""","=""5.679929""","=""4d8.(3F).5p""","=""z 2D*""","=""3/2""","=""4d8.(3F).6s""","=""e 4F""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""842.791""","=""842.7880""","=""8""","=""""","=""""","=""""","=""""",,"=""4.208810""","=""5.679929""","=""4d8.(3F).5p""","=""z 2F*""","=""5/2""","=""4d8.(3F).6s""","=""e 4F""","=""3/2""",6,4,,"=""""","=""L3475""",
