obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""""","=""7244""","=""5""","=""""","=""8.97e+04""","=""1.41e-01""","=""6.73e+01""","=""-0.549""",A,"=""5.007826""","=""5.17898""","=""1s2.6p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",2,4,,"=""T5118LS""","=""""",
"=""""","=""7244""","=""5""","=""""","=""1.07e+05""","=""1.27e-01""","=""1.21e+02""","=""-0.29""",A,"=""5.007826""","=""5.17898""","=""1s2.6p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",4,6,,"=""T5118LS""","=""""",
"=""""","=""7503""","=""6""","=""""","=""2.00e+03""","=""1.69e-03""","=""2.50e+00""","=""-1.995""",B',"=""4.84834""","=""5.013589""","=""1s2.5f""","=""2F*""","=""5/2""","=""1s2.6d""","=""2D""","=""5/2""",6,6,,"=""T1115CA""","=""""",
"=""""","=""7503""","=""6""","=""""","=""4.19e+04""","=""2.36e-02""","=""3.49e+01""","=""-0.849""",B',"=""4.84834""","=""5.013587""","=""1s2.5f""","=""2F*""","=""5/2""","=""1s2.6d""","=""2D""","=""3/2""",6,4,,"=""T1115CA""","=""""",
"=""""","=""7503""","=""6""","=""""","=""3.99e+04""","=""2.53e-02""","=""4.99e+01""","=""-0.695""",B',"=""4.84834""","=""5.013589""","=""1s2.5f""","=""2F*""","=""7/2""","=""1s2.6d""","=""2D""","=""5/2""",8,6,,"=""T1115CA""","=""""",
"=""""","=""7608.5""","=""0.8""","=""""","=""4.16e+03""","=""3.61e-03""","=""3.62e+00""","=""-1.840""",A,"=""5.013587""","=""5.176542""","=""1s2.6d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""3/2""",4,4,,"=""T5118LS""","=""""",
"=""""","=""7608.5""","=""0.8""","=""""","=""4.16e+04""","=""1.81e-02""","=""1.81e+01""","=""-1.141""",A,"=""5.013587""","=""5.176542""","=""1s2.6d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""1/2""",4,2,,"=""T5118LS""","=""""",
"=""""","=""7608.6""","=""0.8""","=""""","=""3.75e+04""","=""2.17e-02""","=""3.26e+01""","=""-0.886""",A,"=""5.013589""","=""5.176542""","=""1s2.6d""","=""2D""","=""5/2""","=""1s2.8p""","=""2P*""","=""3/2""",6,4,,"=""T5118LS""","=""""",
"=""""","=""7716.6""","=""0.8""","=""""","=""1.37e+04""","=""1.22e-02""","=""1.24e+01""","=""-1.31""",A,"=""4.847154""","=""5.007826""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""3/2""",4,4,,"=""T5118LS""","=""""",
"=""""","=""7716.6""","=""0.8""","=""""","=""1.37e+05""","=""6.10e-02""","=""6.20e+01""","=""-0.613""",A,"=""4.847154""","=""5.007826""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""1/2""",4,2,,"=""T5118LS""","=""""",
"=""""","=""7716.6""","=""0.8""","=""""","=""1.23e+05""","=""7.35e-02""","=""1.12e+02""","=""-0.36""",A,"=""4.847155""","=""5.007826""","=""1s2.5d""","=""2D""","=""5/2""","=""1s2.6p""","=""2P*""","=""3/2""",6,4,,"=""T5118LS""","=""""",
"=""""","=""8132.0""","=""0.9""","=""""","=""2.17e+03""","=""2.15e-03""","=""1.15e+00""","=""-2.37""",A,"=""4.957835""","=""5.110300""","=""1s2.6s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""1/2""",2,2,,"=""T5118LS""","=""""",
"=""""","=""8132.0""","=""0.9""","=""""","=""2.17e+03""","=""4.30e-03""","=""2.30e+00""","=""-2.066""",A,"=""4.957835""","=""5.110300""","=""1s2.6s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""3/2""",2,4,,"=""T5118LS""","=""""",
